placeid,lat,lon,drogerie
ChIJC20tDLcyuEcRuNv47GGwexc,52.27936,7.44227,dm
ChIJxaAYaDLFuUcRyk05nFd9SnY,52.27655,7.71566,other
ChIJLxj9guXnuUcRJfZCQkMzP7w,52.27679,7.91654,other
ChIJhQs2vu7ouUcR_8yjpEksCwU,52.2356599,7.9622472,other
ChIJK5lr9QrpuUcRZFWDmQ8m6Cw,52.2037925,7.9356285,other
ChIJ8fNwO-s5uEcRALn1OMaUKHM,52.2100007,7.1880595,other
ChIJUc_hcYvMuUcRTPy0DukiUvo,52.2284134,7.4899426,other
ChIJ0x3Gt6_zuUcR8samlt-gMeM,52.13188,8.1474,other
ChIJQdapKJCMuUcRMifpKodpVLw,52.04797,8.15069,other
ChIJa6yrWWMIukcRoPas_jGklDc,52.35142,8.61235,other
ChIJ1etGYZdyukcRxF_U5A4rYMc,52.212201,8.812833,dm
ChIJXzEMiRcIukcRQYW5S2zrQLA,52.3769392,8.631438,other
ChIJD8d2ChUQukcRK8RMsCwvqnw,52.201524,8.5771134,dm
ChIJgyW_nW4UukcRES_HN62lODA,52.113675,8.671233,dm
ChIJbcX5kDl7ukcRUh1rmCyMW8A,52.198101,9.081192,dm
ChIJP_F52XJ_ukcRXHaPtD09UVo,52.323593,9.204194,dm
ChIJs_oN_38XukcRvI9sh3Oad3w,52.096389,8.518084,other
ChIJ-Z0_t2MdukcRhfSy3JEfrEU,52.2094819,8.3317944,other
ChIJn8d2JhNVZUERzWJ3zO938CY,52.037889,8.525216,dm
ChIJt4Z5tMh1ukcR6riSXu8fcg8,52.3336681,8.91107,other
ChIJ97FNDdkRukcR3kF320ygIcM,52.2124606,8.6286966,other
ChIJ7U2fDpaasEcRoW20EtoHTOE,52.5105081,9.0752723,other
ChIJO7xSgbUQukcRmFRPFmLW3Po,52.13885,8.5586102,other
ChIJsy483iR7ukcRRXqL46qluwQ,52.1967411,9.071397,other
ChIJ-Z0_t2MdukcRkHSLl95w0jY,52.2096057,8.3317174,other
ChIJ-2g1nRp_ukcRHPrzos81_-s,52.312753,9.194602,dm
ChIJV1eH-X09ukcRo8r_mxFo-QU,52.050765,8.552159,dm
ChIJC-SUgF5gukcRe_fj2697UUI,52.0320113,9.1248629,other
ChIJp7JRkwJ0ukcRsQuod_lHorU,52.2896706,8.9167015,dm
